PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
38469154,Circulating IL-6 and not its circulating signaling components sIL-6R and sgp130 demonstrate clinical significance in NSCLC patients treated with immune checkpoint inhibitors.,2023,"Miura, Masatomo; Fujita, Kazuma","Department of Pharmacy, Akita University Hospital, Akita, Japan.; Department of Pharmacy, Akita University Hospital, Akita, Japan.",None
38378398,Transitioning to Neoadjuvant Therapy for Resectable Non-Small Cell Lung Cancer: Trends and Surgical Outcomes in a Regionalized Pulmonary Oncology Network.,2024,"Wong, Annick","Department of Oncology, McGill University, Montreal, QC, Canada; Hôpital du Suroît, Salaberry-de-Valleyfield, QC, Canada.",jonathan.spicer@mcgill.ca.
38322280,Treatment decision for recurrences in non-small cell lung cancer during or after adjuvant osimertinib: an international Delphi consensus report.,2023,"Leighl, Natasha; Wu, Yi-Long","Department of Medical Oncology & Hematology, Princess Margaret Cancer Centre, Toronto, ON, Canada.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital and Guangdong Academy of Medical Sciences, Guangzhou, China.",None
38304857,"RELAY, Erlotinib Plus Ramucirumab in Untreated, ",2024,"Carlsen, Michelle","Eli Lilly and Company, Indianapolis, Indiana.",None
38262770,"APOLLO 11 Project, Consortium in Advanced Lung Cancer Patients Treated With Innovative Therapies: Integration of Real-World Data and Translational Research.",2024,"Inno, Alessandro","Oncology Department, IRCCS Ospedale Sacro Cuore don Calabria, Verona, Italy.",Leonardo.provenzano@istitutotumori.mi.it.
38245456,Brief Report: Updated Efficacy and Safety Data From an Integrated Analysis of Entrectinib in Locally Advanced/Metastatic ROS1 Fusion-Positive Non-Small-Cell Lung Cancer.,2024,"Krzakowski, Maciej; Zeuner, Harald; Xue, Cloris","Lung Cancer and Thoracic Cancer Department, Maria Sklodowska-Curie National Research Institute of Oncology, Warsaw, Poland.; F. Hoffmann-La Roche Ltd, Basel, Switzerland.; F. Hoffmann-La Roche Ltd, Mississauga, Canada.",matthew.krebs@manchester.ac.uk.
38218680,Prognostic Impact of TP53 Mutations in Metastatic Nonsquamous Non-small-cell Lung Cancer.,2024,"Denis, Marc G; Herbreteau, Guillaume","Nantes Université, CHU Nantes, Department of Biochemistry, INSERM, CNRS, Immunology and New Concepts in ImmunoTherapy, INCIT, Nantes, France.; Nantes Université, CHU Nantes, Department of Biochemistry, INSERM, CNRS, Immunology and New Concepts in ImmunoTherapy, INCIT, Nantes, France.",judith.raimbourg@ico.unicancer.fr.
38190787,"EGFR-mutation testing, treatment patterns and clinical outcomes in patients with stage IB-IIIA non-small cell lung cancer in Norway-a nationwide cohort study.",2024,"Conte, Simona; Frederiksen, Line Elmerdahl; Aarøe, Jørgen","Medical, Biopharmaceuticals, AstraZeneca, Stockholm, Sweden.; Medical, Biopharmaceuticals, AstraZeneca, Copenhagen, Denmark.; Medical, Biopharmaceuticals, AstraZeneca, Oslo, Norway.",espen.enerly@kreftregisteret.no.
38185589,"PD-L1 expression guidance on sintilimab versus pembrolizumab with or without platinum-doublet chemotherapy in untreated patients with advanced non-small cell lung cancer (CTONG1901): A phase 2, randomized, controlled trial.",2024/Feb/26,"Huang, Jie; Deng, Jia-Yi; Xu, Chong-Rui; Yan, Hong-Hong; Yang, Ming-Yi; Li, Yang-Si; Ke, E-E; Zheng, Ming-Ying; Wang, Zhen; Lin, Jia-Xin; Gan, Bin; Zhang, Xu-Chao; Chen, Hua-Jun; Wang, Bin-Chao; Tu, Hai-Yan; Yang, Jin-Ji; Zhong, Wen-Zhao; Li, Yangqiu; Zhou, Qing; Wu, Yi-Long","Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China; Chinese Thoracic Oncology Group (CTONG), Guangzhou 510055, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Department of Hematology, The First Affiliated Hospital, Jinan University, Guangzhou 510632, China; Institute of Hematology, School of Medicine, Key Laboratory for Regenerative Medicine of Ministry of Education, Jinan University, Guangzhou 510632, China. Electronic address: yangqiuli@hotmail.com.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China; Chinese Thoracic Oncology Group (CTONG), Guangzhou 510055, China. Electronic address: gzzhouqing@126.com.; Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China; Chinese Thoracic Oncology Group (CTONG), Guangzhou 510055, China. Electronic address: syylwu@live.cn.",syylwu@live.cn.
38159809,"Pembrolizumab With or Without Lenvatinib for First-Line Metastatic NSCLC With Programmed Cell Death-Ligand 1 Tumor Proportion Score of at least 1% (LEAP-007): A Randomized, Double-Blind, Phase 3 Trial.",2024,"Okpara, Chinyere E; Dutcus, Corina; Zimmer, Zachary; Samkari, Ayman; Bhagwati, Niyati","Eisai Ltd., Hatfield, United Kingdom.; Eisai Inc., Nutley, New Jersey.; Merck & Co., Inc., Rahway, New Jersey.; Merck & Co., Inc., Rahway, New Jersey.; Merck & Co., Inc., Rahway, New Jersey.",chihyang@ntu.edu.tw.
